Id,Name,Code,City,Oceans insights code,Latitude,Longitude,Bigschedules,Created at,Updated at,Port type,Hub port,Ocean insights
2314,Aalst,NLAAL,1711,,51.3971046,5.4769617,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,true,
2734,Addis Ababa,ETADD,2070,,8.9806034,38.7577605,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2472,Aguascalientes,MXAGU,1821,,21.8853247,-102.2915131,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
833,Ain Sokhna Port,EGAIS,120,,29.658399,32.343835,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2075,Akranes,ISAKR,1470,,64.3219244,-22.0702847,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
841,Algeciras,ESALG,128,,36.1407591,-5.456233,P362,2007-06-30 12:11:55 +0200,2017-08-08 20:18:40 +0200,seaport,false,
842,Algiers,DZALG,129,,36.753768,3.0587561,P768,2007-06-30 12:11:55 +0200,2017-08-08 20:15:55 +0200,seaport,false,
1389,Ambarli (Mardas),TRMAD,134,,40.968614,28.67483,P1089,2007-06-30 12:11:55 +0200,2017-07-04 06:14:03 +0200,seaport,false,
1626,Amsterdam,NLAMS,1022,,52.3702157,4.8951679,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,true,
2546,An shan,CNANS,1886,,41.108647,122.994329,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1668,Anacortes,USOTS,1064,,48.5126045,-122.6126718,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2056,Andenes,NOADN,1451,,69.3160799,16.1202284,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1771,Antibes,FRANT,1167,,43.580418,7.125102,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1396,Antisranana,MGDIE,868,,-12.3231349,49.2942833,P948,2007-06-30 12:11:55 +0200,2017-10-06 01:39:34 +0200,seaport,false,
844,Antofagasta,CLANF,798,,-23.6509279,-70.3975022,P40,2007-06-30 12:11:55 +0200,2017-08-08 20:16:40 +0200,seaport,false,
2245,Ardrossan,GBARD,1641,,55.643889,-4.81182,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2327,Arenys de mar,ESARN,1724,,41.5797073,2.5508683,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1767,Arkhangelsk,RUARH,1163,,64.5472507,40.5601553,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1921,Asaluyeh,IRASA,1316,,27.472075,52.6146057,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2784,Ashburton,NZASG,2119,,-43.9083813,171.7485672,P3744,2007-06-30 12:11:55 +0200,2017-09-01 10:10:36 +0200,seaport,false,
110,Ashdod,ILASH,105,,31.804381,34.655314,P223,2007-06-30 12:11:55 +0200,2017-08-03 00:10:40 +0200,seaport,false,
2302,Aspropyrgos,GRASS,1699,,38.0609063,23.5910603,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1987,Astoria,USAST,1382,,46.1878841,-123.8312534,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1675,Astrakhan,RUASF,1071,,46.3588045,48.0599345,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
854,Asuncion,PYASU,151,,-25.2637399,-57.575926,P1038,2007-06-30 12:11:55 +0200,2017-07-04 06:07:32 +0200,seaport,false,
1808,Augusta,ITAUG,1204,,37.2500684,15.2216971,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1527,Austin,USAUS,937,,30.267153,-97.7430608,P2730,2007-06-30 12:11:55 +0200,2017-09-01 00:28:15 +0200,seaport,false,
2204,Bainbridge island,USBII,1600,,47.6248791,-122.5210008,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1803,Ballstad,NOBSD,1199,,68.0755764,13.5481479,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
857,Baltiysk,RUBLT,159,,54.6591222,19.9228947,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
858,Bandar Abbas,IRBND,160,,27.1832216,56.2666455,P218,2007-06-30 12:11:55 +0200,2017-07-04 06:02:53 +0200,seaport,false,
860,Bandar Abbas Shahid Reajie,IRBSR,162,,27.1574809,56.1479435,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
861,Banjarmasin,IDBDJ,163,,-3.3186067,114.5943784,P202,2007-06-30 12:11:55 +0200,2017-09-18 01:29:59 +0200,seaport,false,
2768,Barquisimeto,VEBRM,2102,,10.0677719,-69.3473509,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2089,Barrow-in-furness,GBBIF,1484,,54.108967,-3.218894,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2140,Basel,CHBSL,1535,,47.5595986,7.5885761,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
868,Basseterre,KNBAS,170,,17.3026058,-62.7176924,P929,2007-06-30 12:11:55 +0200,2017-08-08 20:10:23 +0200,seaport,false,
870,Batangas City,PHBTG,172,,13.7564651,121.0583076,P1674,2007-06-30 12:11:55 +0200,2017-11-20 14:47:44 +0100,seaport,false,
1672,Batsfjord,NOBJF,1068,,70.6304931,29.7118031,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2108,Beaulieu-sur-mer,FRBZM,1503,,43.7077201,7.3343701,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1403,Belfast,GBBEL,805,,54.597285,-5.93012,P405,2007-06-30 12:11:55 +0200,2017-09-02 20:32:36 +0200,seaport,false,
2282,Bernkastel,DEBEK,1679,,49.9197888,7.0626677,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1408,Bissau,GWOXB,877,,11.8816553,-15.6177942,P839,2007-06-30 12:11:55 +0200,2017-07-29 04:03:28 +0200,seaport,false,
883,Bosphorus Passage,TRBSO,191,,41.2213125,29.1290157,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2083,Bostanci,TRBOS,1478,,40.9583172,29.0968982,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
884,Boston,USBOS,192,,42.3600825,-71.0588801,P420,2007-06-30 12:11:55 +0200,2017-08-30 01:07:07 +0200,seaport,false,
1728,Boulogne-sur-mer,FRBOL,1124,,50.725231,1.613334,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1830,Bratislava,SKBTS,1226,,48.1485965,17.1077477,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2262,Breskens,NLBRS,1658,,51.3945258,3.5558783,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,true,
886,Brest,FRBES,194,,48.390394,-4.486076,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
889,Brindisi,ITBDS,197,,40.6327278,17.9417616,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
890,Brisbane,AUBNE,198,,-27.4697707,153.0251235,P7,2007-06-30 12:11:55 +0200,2017-08-08 20:07:58 +0200,seaport,false,
891,Bristol,GBBRS,199,,36.5951059,-82.1887444,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2696,Brownsville,USBRO,2035,,25.9017472,-97.4974838,P3908,2007-06-30 12:11:55 +0200,2017-09-01 00:28:48 +0200,seaport,false,
1848,Bruinisse,NLBSE,1244,,51.6629014,4.094781,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,true,
2222,Brunsbuettel,DEBRB,1618,,53.8988902,9.1338853,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2077,Brunswick,USSSI,1472,,31.1499528,-81.4914894,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2040,Brussels,BEBRU,1435,,50.8503463,4.3517211,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,true,
1653,Budapest,HUBUD,1049,,47.497912,19.040235,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
893,Buenos Aires,ARBUE,201,,-34.6036844,-58.3815591,P4,2007-06-30 12:11:55 +0200,2017-08-08 20:22:58 +0200,seaport,false,
1897,Buesum,DEBUM,1292,,54.1346218,8.8585913,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
894,Burgas,BGBOJ,202,,42.5047926,27.4626361,P561,2007-06-30 12:11:55 +0200,2018-04-01 09:32:36 +0200,seaport,false,
1980,Burgstaaken,DEBSK,1375,,54.4227712,11.1915334,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
55,Busan,KRPUS,52,,35.1795543,129.0756416,P358,2007-06-30 12:11:55 +0200,2017-07-08 04:09:35 +0200,seaport,false,
1703,Busan new port,KRBNP,1099,,35.1035355,129.0423688,P2480,2007-06-30 12:11:55 +0200,2017-09-11 22:48:08 +0200,seaport,false,
895,Bushehr,IRBUZ,811,,28.9233837,50.820314,P1501,2007-06-30 12:11:55 +0200,2017-11-05 14:30:35 +0100,seaport,false,
1774,Cairns,AUCNS,1170,,-16.9185514,145.7780548,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2016,Calais,FRCQF,1411,,50.95129,1.858686,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2141,Camarinas,ESIAS,1536,,43.1305138,-9.1828065,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2755,Campinas,BRCPQ,2091,,-22.9098833,-47.0625812,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2322,Canet en roussillon,FRPYO,1719,,42.706091,3.009898,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
